site_id,stream_id,bulltrout_present,august_stream_temp,thermal_sensitivity,contributing_area,elevation,gradient,vegetation_cover,patch_id
p9-3-06,1596,0,7.97,0.615659928,1650,1179,2.5,0.994532,9
p9-3-07,1596,0,7.99,0.617372679,1650,1176,2.5,0.994532,9
p9-3-10,1596,0,8.11,0.575651595,1700,1166,2.5,0.436611,9
p9-3-19,1612,0,8.49,0.555088768,1860,1153,0.1,0.11941,9
p9-3-27,1624,0,7.59,0.556232087,2960,1153,0.1,0.15412,9
p9-3-34,1636,0,8.35,0.550618348,4240,1153,2.2,0.0764516,9
p9-3-39,1640,0,8.19,0.558534053,4510,1141,2.6,0.0824405,9
p9-3-42,1640,0,8.32,0.554248956,4550,1134,2.6,1.63E-05,9
p9-3-45,1640,0,8.27,0.569927721,4570,1123,2.6,0.13129,9
p9-3-53,1644,0,7.93,0.64536061,4720,1107,2,0.983752,9
p9-3-57,1644,0,7.6,0.567697227,4760,1097,2,0.0263753,9
p9-3-64,1644,1,6.92,0.568826314,4830,1084,2,0.0079136,9
p9-3-70,1829,0,6.4,0.644549072,4960,1073,1.9,0.889804,9
p9-3-71,1829,1,6.39,0.577695798,4980,1068,1.9,0.0793589,9
p9-3-72,1829,1,6.46,0.645704595,5010,1064,1.9,0.865476,9
p9-3-75,1829,1,6.62,0.575548663,5060,1060,1.9,0.0403053,9
p9-3-902,1628,0,8.13,0.599863883,3140,1153,0.1,0.685425,9
p9-3-903,1612,0,8.49,0.545995668,1860,1153,0.1,0.0123454,9
